,SiteName,PrimaryUse,Borough,AreaHa,Easting,Northing
33,Cherry Tree Wood,Park,Barnet,5.4171,527569.0,189056.0
34,Chesterfield Rd Green,Amenity green space,Barnet,1.0287,523728.0,195477.0
35,Childs Hill Park,Park,Barnet,2.9523,524787.0,186914.0
36,Chipping Barnet Cemetery,Cemetery/churchyard,Barnet,3.3215,523595.0,195966.0
37,Church Hill Rd Green,Amenity green space,Barnet,0.244,527664.0,194632.0
38,Clitterhouse Playing Fields,Playing fields,Barnet,16.7597,523786.0,187126.0
39,Colindale Avenue Recreation Ground and Library Field,Recreation ground,Barnet,2.1158,521366.0,189800.0
40,Coppetts Rd Recreation Ground,Recreation ground,Barnet,2.3544,528089.0,190764.0
41,Coppetts Wood Nature Reserve,Nature reserve,Barnet,13.8007,527691.0,191566.0
42,Copthall Playing Fields and Stadium,Playing fields,Barnet,50.4382,522892.0,190816.0
43,Dollis Brook Open Spaces,Playing fields,Barnet,70.0894,525127.0,194663.0
44,Dollis Valley Way Green,Amenity green space,Barnet,0.7367,524769.0,195652.0
45,East End Road Sports Ground,Playing fields,Barnet,2.8474,525430.0,190226.0
46,East Finchley Cemetery,Cemetery/churchyard,Barnet,15.6672,525897.0,189593.0
47,Edgwarebury Park,Park,Barnet,15.8305,518981.0,193317.0
48,Elm Park,Park,Barnet,0.3059,525132.0,186445.0
49,Finchley Cricket Club,Playing fields,Barnet,2.2043,525702.0,190095.0
50,Finchley Way Open Space,Amenity green space,Barnet,0.6915,525227.0,191475.0
51,Folly Brook,Nature reserve,Barnet,12.9521,524505.0,193078.0
52,Friary Park,Park,Barnet,9.1258,527313.0,192681.0
53,Glebelands Nature Reserve,Nature reserve,Barnet,5.6981,526830.0,191001.0
54,Golders Hill Park (Hampstead Heath),Park,Barnet,14.9296,525637.0,186932.0
55,Heybourne Park,Park,Barnet,4.7,521434.0,190687.0
56,Greenhill Gardens,Park,Barnet,1.6355,525851.0,195517.0
57,Hadley Green,Amenity green space,Barnet,9.7554,524623.0,197348.0
58,Hampstead Heath Extension,Playing fields,Barnet,30.1572,525923.0,187722.0
59,Hendon Cemetery,Cemetery/churchyard,Barnet,16.5436,523889.0,190846.0
60,Hendon Park,Park,Barnet,10.9951,523367.0,188456.0
61,Highlands Gardens,Formal garden,Barnet,0.9837,525547.0,195950.0
62,Holy Trinity Church,Cemetery/churchyard,Barnet,0.311,526598.0,189709.0
63,Ingleway Green,Amenity green space,Barnet,1.0708,527060.0,191716.0
64,King George's Field (Barnet),Playing fields,Barnet,35.4064,525060.0,196866.0
65,Little Wood,Public woodland,Barnet,1.1561,525342.0,189020.0
66,Long Lane Pasture,Nature reserve,Barnet,1.1048,526077.0,190249.0
67,Long Mead Green,Amenity green space,Barnet,0.3191,521603.0,191005.0
68,Lyndhurst Park,Park,Barnet,2.8669,521191.0,191732.0
69,Malcolm Park,Park,Barnet,1.9132,522197.0,188640.0
70,Mallard Close Green,Amenity green space,Barnet,0.3835,526746.0,194980.0
71,Meadway Green and Potters Lane Scrub and High Barnet Station,Amenity green space,Barnet,5.5297,525132.0,196165.0
72,Mill Hill Cemetery,Cemetery/churchyard,Barnet,6.973,523155.0,191819.0
73,Mill Hill Green,Park,Barnet,0.6858,521556.0,192426.0
74,Mill Hill Park East,Park,Barnet,14.9712,522012.0,191921.0
75,Mill Hill Park West,Park,Barnet,4.384,521782.0,191696.0
76,Moat Mount Open Space,Playing fields,Barnet,119.1261,521509.0,194306.0
77,Monken Hadley Common,Common,Barnet,72.9155,526177.0,197183.0
78,Monken Hadley War Memorial Green,Amenity green space,Barnet,0.8301,525159.0,197481.0
79,Dollis Valley Green Walk,Park,Barnet,8.6141,524816.0,189266.0
80,Northfield Rd Playing Field,Playing fields,Barnet,3.0324,527513.0,196614.0
81,Oak Hill Wood,Nature reserve,Barnet,9.9068,527908.0,195122.0
82,Oak Lane Green,Amenity green space,Barnet,0.2161,526650.0,190306.0
83,Old Court House Recreation Ground,Recreation ground,Barnet,2.0891,524454.0,196292.0
84,Princes Park,Park,Barnet,1.4222,524398.0,188523.0
85,Pymme's Brook,River,Barnet,2.6255,526964.0,196617.0
86,Ravenscroft Gardens,Formal garden,Barnet,1.1315,523988.0,196453.0
87,River Brent (Barnet),River,Barnet,6.6064,523632.0,188326.0
88,Rowley Green Common,Nature reserve,Barnet,5.9117,521716.0,196101.0
89,Rushdene Ave Green,Amenity green space,Barnet,0.1919,527443.0,194741.0
90,School Park,Playing fields,Barnet,7.6126,522482.0,192138.0
91,Scratch Wood,Public woodland,Barnet,49.0372,520199.0,194837.0
92,Southover Sports Ground,Recreation ground,Barnet,2.9596,525500.0,192943.0
93,St Marks Church,Cemetery/churchyard,Barnet,0.1518,525666.0,196480.0
94,St Mary's Church (Barnet),Cemetery/churchyard,Barnet,0.3698,527711.0,194564.0
95,St Mary's Churchyard (Barnet),Cemetery/churchyard,Barnet,0.6505,522904.0,189590.0
96,St Pancras & Islington Cemetery,Cemetery/churchyard,Barnet,60.6608,527217.0,190707.0
97,St Paul's Churchyard,Cemetery/churchyard,Barnet,0.7168,522594.0,192833.0
98,Stonegrove Park,Park,Barnet,2.9569,518961.0,192184.0
99,Sunny Hill Park,Park,Barnet,21.7774,522742.0,190118.0
100,Swan Lane open Space,Park,Barnet,3.6396,526188.0,193351.0
101,Thornfield Avenue Allotments,Allotments,Barnet,0.5469,524280.0,190827.0
102,Totteridge Green,Park,Barnet,4.7646,525051.0,193675.0
103,Tudor Sports Ground,Recreation ground,Barnet,9.3745,526100.0,196907.0
104,Victoria Recreation Ground (Barnet),Recreation ground,Barnet,5.669,526667.0,196456.0
105,Glebelands Open Space,Playing fields,Barnet,9.4235,526825.0,191230.0
106,Victoria Park (Barnet),Park,Barnet,7.1548,525847.0,191052.0
107,Village Rd Green,Amenity green space,Barnet,0.5936,524234.0,190369.0
108,Wansford Park Playing Field,Playing fields,Outside Greater London,1.4923,521104.0,196475.0
109,West Hendon Estate,Amenity green space,Barnet,1.5572,521832.0,187958.0
110,West Hendon Playing Fields,Playing fields,Barnet,29.8113,521373.0,187933.0
111,Willifield Way Green,Amenity green space,Barnet,0.295,525052.0,188896.0
112,Woodcroft Park,Park,Barnet,5.7036,521453.0,191403.0
113,Woodfield Park,Park,Barnet,8.2877,521418.0,187412.0
114,Cricklewood Play Area,Play space,Barnet,0.5033,523765.0,185955.0
115,Lyttelton Playing Fields,Playing fields,Barnet,8.4459,526375.0,188766.0
116,Northway Gardens,Formal garden,Barnet,3.0924,525771.0,188968.0
117,Montrose Playing Fields,Playing fields,Barnet,10.8321,520805.0,190212.0
118,Silkstream Park,Park,Barnet,4.4787,520503.0,190494.0
119,Rushgrove Park,Park,Barnet,3.8241,521790.0,189233.0
120,Barnet Gate Wood,Public woodland,Barnet,4.0928,521566.0,194814.0
121,Oak Hill Park,Park,Barnet,25.7112,527774.0,194786.0
122,Dollis Brook,River,Barnet,20.3412,524859.0,191312.0
123,Barfield Avenue,Park,Barnet,0.7693,527607.0,193629.0
124,Totteridge Fields,Nature reserve,Barnet,6.7943,522309.0,194090.0
125,Stoneyfields Park,Park,Barnet,3.3275,520337.0,193106.0
126,St Alban's Rd Burial Ground,Cemetery/churchyard,Barnet,1.214,524121.0,197158.0
127,Friern Barnet Parish Church,Cemetery/churchyard,Barnet,0.8222,527221.0,192918.0
128,Oakfields Wood,Public woodland,Barnet,5.2378,523677.0,192398.0
129,Tantony Green,Recreation ground,Barking and Dagenham,1.4633,547854.0,189614.0
130,Barking (St Mary's) Abbey Ruins,Cemetery/churchyard,Barking and Dagenham,0.642,544002.0,183943.0
131,Barking Market Pedestrianised Area,Other hard surfaced areas,Barking and Dagenham,0.0846,544207.0,183930.0
132,Barking Park,Park,Barking and Dagenham,28.5568,544766.0,184999.0
133,Basedale Road Housing Green,Amenity green space,Barking and Dagenham,0.2674,546635.0,184455.0
134,Bastable Avenue Open Space,Amenity green space,Barking and Dagenham,0.2597,546451.0,183053.0
135,Brook Meadow Open Space,Amenity green space,Barking and Dagenham,0.4279,546309.0,184176.0
136,Buzzards Mouth Creek,River,Barking and Dagenham,1.9284,546131.0,182107.0
137,Castle Green Park,Park,Barking and Dagenham,10.4365,547236.0,183707.0
138,Abbey Green (North),Park,Barking and Dagenham,1.7456,543995.0,184051.0
139,Central Park (Barking and Dagenham),Park,Barking and Dagenham,48.9707,550049.0,186767.0
140,Chadwell Heath Cemetery,Cemetery/churchyard,Barking and Dagenham,6.9272,548301.0,189713.0
141,Civic Centre Green,Amenity green space,Barking and Dagenham,0.8547,549455.0,186876.0
142,St Peter's & St Paul Church Yard,Nature reserve,Barking and Dagenham,0.8355,550058.0,184467.0
143,Eastbrookend Cemetery,Cemetery/churchyard,Barking and Dagenham,4.0789,551359.0,186322.0
144,Eastbrookend Country Park,Country park,Barking and Dagenham,69.512,550908.0,186122.0
145,Essex Road Gardens,Formal garden,Barking and Dagenham,0.0742,544838.0,184069.0
146,Goresbrook,River,Barking and Dagenham,7.6668,548220.0,182820.0
147,Goresbrook Leisure Complex Fields,Playing fields,Barking and Dagenham,8.9714,547857.0,183738.0
148,Goresbrook Park,Park,Barking and Dagenham,13.7321,548541.0,184104.0
149,Greatfields Park,Park,Barking and Dagenham,5.806,545085.0,183436.0
150,Harts Lane Housing Green,Amenity green space,Barking and Dagenham,0.9924,543654.0,184488.0
151,Harveys Lane Footpath,Walking/cycling route,Barking and Dagenham,0.7478,551158.0,186930.0
152,Eastminster School of Riding (Hooks Hall Farm),Equestrian centre,Barking and Dagenham,7.5764,551536.0,186236.0
153,Kingston Hill Avenue Recreation Grounds,Other recreational,Barking and Dagenham,1.3677,548364.0,189798.0
154,Lintons Housing Green,Amenity green space,Barking and Dagenham,1.2036,544157.0,184395.0
155,Heath Park,Amenity green space,Barking and Dagenham,1.1803,549285.0,186360.0
156,Lodge Avenue Housing Green North,Amenity green space,Barking and Dagenham,0.6067,546665.0,185460.0
157,Loxford Water,River,Barking and Dagenham,0.4302,544279.0,184895.0
158,King George's Field,Other recreational,Barking and Dagenham,0.9062,549288.0,183661.0
159,Mayesbrook,River,Barking and Dagenham,4.9776,545884.0,184039.0
160,Mayesbrook Park,Park,Barking and Dagenham,45.2726,546381.0,184859.0
161,Field Gardens Allotments,Allotments,Barking and Dagenham,0.4339,547947.0,188136.0
162,Beam Parklands,Country park,Barking and Dagenham,29.5013,550375.0,183754.0
163,Millennium Green (Dagenham Village),Amenity green space,Barking and Dagenham,0.1155,549981.0,184553.0
164,Newlands Park,Park,Barking and Dagenham,0.7895,546504.0,183205.0
165,Lyon Industrial Estate Open Space,Amenity green space,Barking and Dagenham,0.673,545464.0,183101.0
166,Northern Buffer Greens (West),Amenity green space,Barking and Dagenham,0.413,545642.0,183383.0
167,Northern Drain,River,Barking and Dagenham,2.3127,546345.0,183343.0
168,Northern Relief Road Buffer Green (West),Amenity green space,Barking and Dagenham,0.3016,543776.0,184244.0
169,Old Dagenham Park,Park,Barking and Dagenham,13.3191,549715.0,184155.0
170,Padnall Open Space,Landscaping around premises,Barking and Dagenham,2.7458,548105.0,189172.0
171,Parsloes Park,Park,Barking and Dagenham,59.583,548008.0,184977.0
172,Pondfield Park,Park,Barking and Dagenham,5.6938,549827.0,185110.0
173,Quaker Burial Ground (Barking and Dagenham),Park,Barking and Dagenham,0.1693,543961.0,184378.0
174,Victoria Gardens (Barking and Dagenham),Formal garden,Barking and Dagenham,0.2765,544099.0,184527.0
175,Ripple Nature Reserve POS,Nature reserve,Barking and Dagenham,4.6009,546803.0,182667.0
176,Rippleside Cemetery,Cemetery/churchyard,Barking and Dagenham,12.7105,546244.0,183908.0
177,Creekmouth Barrier Park,Amenity green space,Barking and Dagenham,2.9118,545651.0,181808.0
178,Scrattons Farm Ecopark,Other recreational,Barking and Dagenham,2.0955,548193.0,183299.0
179,Sheppy Road Housing Green,Amenity green space,Barking and Dagenham,0.2034,546627.0,184301.0
180,Barking Park Allotments,Allotments,Barking and Dagenham,1.9136,545125.0,185234.0
181,South-West Buffer Green,Amenity green space,Barking and Dagenham,0.6278,545551.0,182930.0
182,St Chad's Park,Park,Barking and Dagenham,14.2304,547816.0,188383.0
183,St Margaret's Church Yard,Cemetery/churchyard,Barking and Dagenham,1.0548,544040.0,183901.0
184,Stansgate Road Open Space,Amenity green space,Barking and Dagenham,0.1784,549263.0,186511.0
185,Thames View Playing Fields,Recreation ground,Barking and Dagenham,3.1314,546146.0,182972.0
186,Thames View Southern Buffer Green,Amenity green space,Barking and Dagenham,2.4425,546382.0,182911.0
187,"Town Quay, Barking",Amenity green space,Barking and Dagenham,0.1162,543982.0,183732.0
188,Valence Park and Valence House Grounds,Park,Barking and Dagenham,10.5288,548195.0,186415.0
189,Wantz Stream,River,Barking and Dagenham,0.2492,550199.0,183741.0
190,Wood Lane Housing Green,Amenity green space,Barking and Dagenham,0.1683,548446.0,186066.0
191,Wykeham Green,Amenity green space,Barking and Dagenham,0.6428,547366.0,184884.0
192,The Leys,Playing fields,Barking and Dagenham,15.5141,550049.0,183936.0
193,NGC Roughland,Nature reserve,Barking and Dagenham,1.6208,546766.0,182176.0
194,Area West of Scrattons Farm Ecopark,Amenity green space,Barking and Dagenham,2.2482,547963.0,183287.0
195,Padnall Lake,Amenity green space,Barking and Dagenham,3.6592,547939.0,189132.0
196,Quaker Burial Grounds Northern Relief Verge,Road island/verge,Barking and Dagenham,0.1843,543905.0,184377.0
197,Abbey Estate Open Space,Park,Brent,1.2691,518736.0,183315.0
198,Albert Road Open Space North,Formal garden,Brent,0.1061,524966.0,183285.0
199,Albert Road Open Space South,Formal garden,Brent,0.096,524810.0,183218.0
200,Alperton Cemetery,Cemetery/churchyard,Brent,4.095,517476.0,184127.0
201,Alperton Sports Ground,Playing fields,Brent,9.2216,517789.0,183182.0
202,Ayleston Ave Open Space,Recreation ground,Brent,2.5375,523815.0,183707.0
203,Barham Park,Park,Brent,10.3075,517250.0,185146.0
204,Belvedere Way Meadow,Park,Brent,0.1681,518367.0,188211.0
205,Bestway Park,Park,Brent,0.3842,519704.0,183525.0
206,Beverley Drive Road Island,Amenity green space,Brent,0.8025,518994.0,189806.0
207,Basing Hill and Brampton Grove,Park,Brent,0.9917,519105.0,187157.0
208,Brent Bends,River,Brent,2.9156,520191.0,185676.0
209,Brentfield Park,Park,Brent,0.9594,520849.0,184442.0
210,Brentfield Road Open Space,Park,Brent,0.4012,520620.0,184862.0
211,Brondesbury Park Open Space,Park,Brent,0.1905,523213.0,184509.0
212,Butlers Green,Park,Brent,1.5579,516686.0,185558.0
213,Caffrey Gardens,Formal garden,Brent,0.1987,520328.0,188984.0
214,Cambridge Square,Formal garden,Brent,0.138,525386.0,183232.0
215,Canal side field at Waxlow Road,Private woodland,Brent,0.4924,520591.0,183230.0
216,Chalkhill Linear Park,Amenity green space,Brent,0.6374,519737.0,186508.0
217,Chalkhill Road Park,Park,Brent,1.4047,519763.0,186290.0
218,Chalkhill Youth and Community Centre,Youth area,Brent,1.1977,520525.0,186251.0
219,Chantry Crescent Park,Park,Brent,0.6894,521519.0,184942.0
220,Chelmsford Square Road Islands,Amenity green space,Brent,0.6016,523124.0,183692.0
221,Church Lane Recreation Ground,Park,Brent,6.5199,520670.0,188120.0
222,Coronation Gardens (Brent),Park,Brent,2.9121,518945.0,182711.0
223,Crouch Road Open Space,Park,Brent,0.2118,520656.0,184434.0
224,Crown Walk,Park,Brent,0.8083,519020.0,186379.0
225,Denzil Road Open Space,Amenity green space,Brent,0.0522,521686.0,185157.0
226,Elmwood Park,Park,Brent,1.9,516256.0,186153.0
227,Eton Grove Open Space,Park,Brent,4.2691,519540.0,189535.0
228,Former GEC Sports Ground,Playing fields,Brent,3.7001,518054.0,186672.0
229,Fryent Country Park and Barn Hill Open Space,Country park,Brent,107.5615,519600.0,187799.0
230,Gibbons Recreation Ground,Recreation ground,Brent,4.1866,520933.0,184735.0
231,Gladstone Park,Park,Brent,43.0858,522412.0,185795.0
232,Grange Roundabout Nature Area,Amenity green space,Brent,0.2475,521433.0,185851.0
233,Granville Road Open Space,Park,Brent,0.2432,525192.0,183122.0
234,Greenhill Open Space,Park,Brent,3.2089,520254.0,186073.0
235,Grove Park Open Space (Brent),Park,Brent,1.4054,520466.0,189573.0
236,Heather Park Open Space,Park,Brent,1.773,519259.0,183977.0
237,John Billam Sports Ground,Playing fields,Brent,6.1311,517870.0,187606.0
238,Kensal Green Open Space,Park,Brent,0.081,523204.0,182763.0
239,King Edward VII former Recreation Ground,Park,Brent,6.0042,522758.0,183645.0
240,King Edward VII Park,Park,Brent,10.7553,518268.0,185625.0
241,Kingsbury Green,Formal garden,Brent,0.4326,520467.0,188498.0
242,Learie Constantine Open Space,Play space,Brent,0.1194,522181.0,184925.0
243,Leybourne Road Open Space,Park,Brent,0.8216,519174.0,188945.0
244,Liberal Jewish Cemetery - Willesden,Cemetery/churchyard,Brent,2.8577,522308.0,184150.0
245,Lindsay Park,Park,Brent,1.5942,518970.0,188412.0
246,Longstone Avenue Open Space,Park,Brent,1.7606,521824.0,184070.0
247,Maybank Open Space,Park,Brent,3.7132,516475.0,185267.0
248,Mayo Road Public Open Space,Amenity green space,Brent,0.0437,521283.0,184792.0
249,Mount Pleasant Open Space,Park,Brent,0.398,518447.0,183973.0
250,Northwick Park,Playing fields,Brent,34.4923,516885.0,187446.0
251,One Tree Hill Open Space,Park,Brent,10.7208,517737.0,184188.0
252,Paddington Old Cemetery,Cemetery/churchyard,Brent,10.0606,524573.0,183757.0
253,Playgolf at Northwick Park,Golf course,Brent,14.4139,516481.0,187279.0
254,Preston Park,Park,Brent,7.4322,517728.0,187117.0
255,Quainton Street Open Space,River,Brent,4.5253,520525.0,186209.0
256,Queen's Park,Park,Brent,12.1092,524187.0,183395.0
257,Rainbow Park,Park,Brent,0.2661,523221.0,186130.0
258,Recreation Ground south-east of Wembley Town Centre,Recreation ground,Brent,6.7298,518762.0,184867.0
259,River Brent Corridor - North (Tokyngton Park),River,Brent,1.1936,520213.0,185127.0
260,Roe Green Park,Park,Brent,16.2019,519925.0,188932.0
261,Roe Lane greenspace,Park,Brent,0.1701,520074.0,189381.0
262,Roundwood Park,Park,Brent,14.4256,522125.0,183968.0
263,Roundwood Road Open Space,Formal garden,Brent,0.03,521627.0,184451.0
264,Rydal Gardens Open Space,Park,Brent,0.2363,521389.0,188791.0
265,Shakespeare Road Open Space,Park,Brent,0.6784,520552.0,183880.0
266,Sherborne Gardens roadside greenspace,Amenity green space,Brent,0.561,519275.0,189724.0
267,Sherrins Farm Open Space,Park,Brent,3.0014,519619.0,185274.0
268,Silver Jubilee Park,Park,Brent,14.5317,520986.0,188100.0
269,South Kilburn open Space,Park,Brent,1.3587,525075.0,182965.0
270,St Mary's Church Willesden,Cemetery/churchyard,Brent,2.0679,521372.0,184825.0
271,St. Andrew's Church - Kingsbury,Cemetery/churchyard,Brent,2.0435,520629.0,186878.0
272,St. Gabriel's Churchyard,Cemetery/churchyard,Brent,0.2443,523641.0,185215.0
273,St. John's Parish Church - Wembley,Cemetery/churchyard,Brent,1.1944,517869.0,185137.0
274,St. Raphael's Open Space,Park,Brent,8.8263,520184.0,184878.0
275,Stonebridge Recreation Ground,Recreation ground,Brent,3.2506,520310.0,183915.0
276,Sudbury Court Open Space,Park,Brent,1.2662,516674.0,186448.0
277,Tenterden Sports Ground,Recreation ground,Brent,4.1543,518127.0,187542.0
278,Mapesbury Dell,Park,Brent,0.1702,523960.0,185292.0
279,Tokyngton Park,Park,Brent,7.841,520078.0,184830.0
280,Tookey Close Open Space,Park,Brent,1.6526,518870.0,187909.0
281,Vale Farm Recreation Ground,Recreation ground,Brent,26.0535,517059.0,185919.0
282,Village Way Open Space,Formal garden,Brent,0.116,520964.0,185924.0
283,Wealdstone Brook at Woodcock Hill,River,Brent,0.5381,517498.0,188717.0
284,Welsh Harp Environmental Education Centre,Educational,Brent,5.4269,520827.0,187210.0
285,Wharton Close Greenspace,Park,Brent,0.5942,521415.0,184716.0
286,Willesden Community Garden,Formal garden,Brent,0.2461,521959.0,185068.0
287,Willesden Jewish Cemetery,Cemetery/churchyard,Brent,8.6841,522100.0,184427.0
288,Willesden Sports Centre,Other recreational,Brent,6.62,522819.0,183853.0
289,Wilson Drive Estate Local Park,Amenity green space,Brent,0.3977,518669.0,187811.0
290,Woodcock Park,Park,Brent,7.6945,517765.0,188521.0
291,Wybourne Way Open Space,Park,Brent,1.0149,520157.0,184148.0
292,Shorts Croft Corner,Amenity green space,Brent,0.0345,519997.0,189241.0
293,Meadow Garth,Amenity green space,Brent,0.0366,520439.0,184413.0
294,Bramshill Road,Amenity green space,Brent,0.2186,521504.0,183153.0
295,Harlesden Town Garden,Community garden,Brent,0.2385,521422.0,183798.0
296,Furness Road and Tubbs Road,Amenity green space,Brent,0.0783,522175.0,183053.0
297,Chapter Road,Amenity green space,Brent,0.1278,522906.0,185040.0
298,Hazel Road,Amenity green space,Brent,0.4931,523085.0,182764.0
299,Neasden Recreation Ground,Recreation ground,Brent,3.6289,521733.0,186908.0
300,Pilgrim's Way Estate Open Space,Amenity green space,Brent,0.1052,519820.0,187170.0
301,Roe Green Historic Walled Garden,Formal garden,Brent,0.407,519754.0,189080.0
302,All Saints Foots Cray Church,Cemetery/churchyard,Bexley,0.6322,547601.0,171279.0
303,Barnes Cray Open Space,Recreation ground,Bexley,2.4529,552641.0,175179.0
304,Belvedere Recreation Ground,Park,Bexley,2.0869,548978.0,178286.0
305,Belvedere Sports Ground,Recreation ground,Bexley,2.2253,548498.0,177981.0
306,Beverley Wood,Public woodland,Bexley,0.8214,545679.0,173667.0
307,Bexley Grammar School Playing Fields,Playing fields,Bexley,7.601,546719.0,175073.0
308,Bexleyheath Cemetery,Cemetery/churchyard,Bexley,3.7789,548801.0,175580.0
309,Bigs Hill Wood,Park,Bexley,2.4884,550589.0,174831.0
310,Blackfen Road School Playing Field,Playing fields,Bexley,4.0038,546934.0,174231.0
311,Broadoak Road Open Space,Amenity green space,Bexley,0.3603,550975.0,177374.0
312,Bursted Wood Open Space,Park,Bexley,12.4498,549797.0,176450.0
313,Chalk Wood,Nature reserve,Bexley,28.2351,549504.0,170823.0
314,Chislehurst & Sidcup Grammar School,Playing fields,Bexley,10.7259,546764.0,172983.0
315,Cray South to Edgington Way,River,Bexley,1.9914,547527.0,170680.0
316,Crayford Floodwater Storage Area,Amenity green space,Bexley,28.2479,550668.0,174333.0
317,Crayford Marshes,Nature reserve,Bexley,89.5103,553190.0,177412.0
318,Crayford Saltings,River,Bexley,12.1407,553139.0,177966.0
319,Crescent Road Recreation Ground,Recreation ground,Bexley,4.198,545597.0,172255.0
320,Crook Log Sports Centre,Playing fields,Bexley,4.9241,547678.0,175704.0
321,Crossnes Salt Marsh,River,Bexley,4.9479,549504.0,180780.0
322,Crossness Path,River,Bexley,3.8083,547882.0,181401.0
323,Crossness Sea Wall,Nature reserve,Bexley,3.8616,549698.0,180674.0
324,Crossway Park,Park,Bexley,17.7157,547651.0,180559.0
325,Danson Park,Park,Bexley,74.7701,547191.0,175027.0
326,East Wickham Open Space,Park,Bexley,28.6227,546151.0,176976.0
327,Eastcote Road Open Space,Amenity green space,Bexley,0.3908,544781.0,176153.0
328,Eastcote School Playing Field,Playing fields,Bexley,1.1792,544797.0,175902.0
329,Erith Cemetery,Cemetery/churchyard,Bexley,8.6684,549677.0,177871.0
330,Erith Parish Churchyard,Cemetery/churchyard,Bexley,1.4648,550715.0,178734.0
331,Erith Road Open Space,Recreation ground,Bexley,2.1974,549694.0,178459.0
332,Northumberland Heath Recreation Ground,Recreation ground,Bexley,7.2786,549638.0,177515.0
333,Erith Sports Ground,Recreation ground,Bexley,7.1599,551376.0,177482.0
334,Erith Town Centre Gardens - North,Park,Bexley,1.1089,551423.0,178207.0
335,Foots Cray Sports Ground,Park,Bexley,2.9109,547834.0,171142.0
336,Franks Park,Park,Bexley,17.8135,550023.0,178718.0
337,Garden Avenue Open Space,Amenity green space,Bexley,0.4879,548970.0,176045.0
338,Gattons Plantation,Nature reserve,Bexley,15.0984,549345.0,171741.0
339,Grange Crescent,Park,Bexley,0.7673,547295.0,180919.0
340,Gravel Hill Open Space,Other recreational,Bexley,2.3999,549908.0,174362.0
341,Gravel Hill Sports Ground,Playing fields,Bexley,2.7992,549729.0,174763.0
342,Green Level Ditch,Amenity green space,Bexley,0.4614,550354.0,179710.0
343,Hall Place House and Gardens,Park,Bexley,16.9544,550236.0,174183.0
344,Holly Hill Open Space,Park,Bexley,4.9761,549786.0,178176.0
345,Hollyoak Wood Park,Park,Bexley,5.331,545868.0,173869.0
346,Howard Avenue Recreation Ground,Recreation ground,Bexley,1.7662,547487.0,173394.0
347,Howbury Lane Estate,Park,Bexley,3.376,552129.0,176389.0
348,Hudson Road Open Space,Park,Bexley,0.595,548651.0,176668.0
349,Jenningtree Point South,River,Bexley,1.521,550903.0,179145.0
350,Joydens Wood,Nature reserve,Bexley,32.9018,549786.0,172053.0
351,King George's Park (Bexley),Park,Bexley,0.9969,548883.0,175455.0
352,Lesnes Abbey Woods,Nature reserve,Bexley,87.8935,548060.0,178535.0
